accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
GEOMETRIC_CENTER,"Stop D1 Grote St - North side, Adelaide SA 5000, Australia",ChIJ8WJCyCbPsGoROGRZS_-3VEs,D1 Grote St,-34.928748,138.5951548,1,5000,OK,"bus_station,establishment,point_of_interest,transit_station"
GEOMETRIC_CENTER,"Stop B1 Grote St - North side, Adelaide SA 5000, Australia",ChIJiWEJLD3PsGoRzHdL8998ZJo,B1 Grote St,-34.9290924,138.5885328,1,5000,OK,"bus_station,establishment,point_of_interest,transit_station"
ROOFTOP,"6 Mann St, Mount Barker SA 5251, Australia",ChIJL50tM2cwt2oRG91xeDrjqy0,6 Mann Rd,-35.0665919,138.861536,3,5251,OK,premise
GEOMETRIC_CENTER,"Grote St, Adelaide SA 5000, Australia",ChIJR5F4-yPPsGoRXCN_bObTOTE,B2 Grote St,-34.929026,138.5934004,1,5000,OK,route
ROOFTOP,"10 North East Road, Walkerville SA 5081, Australia",ChIJve4Epg_JsGoRTbWFGrvpKnY,10 North East Rd,-34.8924026,138.6106653,1,5081,OK,street_address
GEOMETRIC_CENTER,"Stop 34E R.M. Williams Dr - West side, Walkley Heights SA 5098, Australia",ChIJCUPb_9i1sGoRgqherdYW0EU,34E RM Williams,-34.836439,138.641368,1,5098,OK,"bus_station,establishment,point_of_interest,transit_station"
GEOMETRIC_CENTER,"Briens Rd, Gepps Cross SA 5094, Australia",ChIJN3GUCBi2sGoRQ3lyQuiJTvU,Roma Mitchell Secondary Colleg,-34.8434098,138.6193492,1,5094,OK,"establishment,point_of_interest,school"
ROOFTOP,"6 Park Rd, Kensington Park SA 5068, Australia",ChIJy9Oow-jLsGoRzBRhLQYpbiA,6 Park Rd,-34.9237308,138.6506166,2,5068,OK,street_address
ROOFTOP,"51 Milne Rd, Ingle Farm SA 5098, Australia",ChIJH-k9-Di0sGoRKDS2omWHLF4,51 Milne Rd,-34.8195261,138.6570016,1,5098,OK,premise
ROOFTOP,"48 Nelson St, Stepney SA 5069, Australia",ChIJA5mlU13JsGoRx4WcdPIYdZE,48 Nelson Rd,-34.911616,138.6290404,2,5069,OK,premise
GEOMETRIC_CENTER,"Zone G Tea Tree Plaza Interchange - East side, Modbury SA 5092, Australia",ChIJDcBWjOu0sGoRdzXjmxWcys8,Zone G Tea Tree Plaza Intercha,-34.8314735,138.6944962,1,5092,OK,"bus_station,establishment,point_of_interest,transit_station"
RANGE_INTERPOLATED,"43 Roopena St, Ingle Farm SA 5098, Australia",Eiw0MyBSb29wZW5hIFN0LCBJbmdsZSBGYXJtIFNBIDUwOTgsIEF1c3RyYWxpYSIaEhgKFAoSCUuqIQTOtbBqEZX_Znj-tKhYECs,43 Roopena St,-34.8329573,138.6490209,1,5098,OK,street_address
ROOFTOP,"49 Nelson Ave, Flinders Park SA 5025, Australia",ChIJEd7O-OrFsGoRMDYtXBqF_I0,49 Nelson Rd,-34.909153,138.5408921,1,5025,OK,street_address
ROOFTOP,"41 Beovich Rd, Ingle Farm SA 5098, Australia",ChIJm-GF8Xi2sGoRumGttiTq2gc,41 Beovich Rd,-34.8293571,138.6372824,1,5098,OK,premise
ROOFTOP,"54 Milne Rd, Para Hills SA 5096, Australia",ChIJo5zg7zi0sGoR9Ot7p0sk_4Q,54 Milne Rd,-34.819089,138.6571583,1,5096,OK,premise
ROOFTOP,"36 Bridge St, Tanunda SA 5352, Australia",ChIJ5TAesCzvuWoRK1vsm320gTA,36 Bridge Rd,-34.5186757,138.9600569,1,5352,OK,street_address
ROOFTOP,"55 Milne Rd, Ingle Farm SA 5098, Australia",ChIJc71u8zi0sGoRV-QMcx8m1iE,55 Milne Rd,-34.8195306,138.657599,1,5098,OK,premise
ROOFTOP,"38 Winara Dr, Ingle Farm SA 5098, Australia",ChIJj8OYjni2sGoRizBVTf8uzj4,38 Winara Dr,-34.8297295,138.6379676,1,5098,OK,premise
